Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Label
-0.986922,-0.850003,-1.077454,-0.380362,-0.066404,-0.25023,-0.592487,-0.809483,0.545209,0.275162,0.273114,0.246053,0.139773,0.392685,0.346357,0.608578,0.869353,-0.508094,0.223441,0.166409,0.079765,-0.117347,0.085588,0.066852,0.31937,0.381375,Lysosome
-0.98179,-0.843936,-0.702863,-0.241209,0.215893,0.201257,-0.257239,-0.456072,0.213272,0.073069,0.146555,0.111023,0.090299,0.209902,0.279362,0.251489,0.470961,-0.27304,0.023946,0.071058,-0.007384,-0.070794,0.024236,0.055299,0.083313,0.118838,Lysosome
-0.97394,-0.95853,-0.953467,-1.036292,-0.700186,-0.553738,-1.130478,-1.050825,0.97005,-0.421793,-0.467478,-0.534929,-0.691182,-0.721396,-0.731717,-0.784919,-0.80537,0.742943,-0.52054,-0.607982,-0.743719,-0.987251,-1.154488,-1.273555,-1.486518,-1.602,Mitochondria
-0.971748,-1.059215,-0.816321,-0.956402,-0.295812,-0.481743,-0.462523,-0.402626,0.609545,-0.425724,-0.48784,-0.430795,-0.34903,-0.291026,-0.239879,-0.421972,-0.576,0.423639,-0.402056,-0.477633,-0.367858,-0.136503,0.226407,0.516238,0.062408,-0.025132,Mitochondria
-0.970605,-1.10633,-0.975029,-1.116282,-0.966524,-1.053416,-1.27002,-1.282352,1.222177,-0.510256,-0.552724,-0.656162,-0.800039,-0.885461,-0.969476,-1.018554,-1.042344,0.940321,-0.562086,-0.62996,-0.747474,-0.953653,-0.96164,-1.043731,-1.27982,-1.351954,Mitochondria
-0.949104,-0.942533,-0.729792,-0.942974,-0.795788,-0.412913,-0.679064,-0.747441,0.784922,-0.590327,-0.678454,-0.760105,-0.872149,-0.852952,-0.699852,-0.920311,-1.022883,0.89346,-0.679439,-0.829043,-0.984424,-1.162882,-1.185702,-1.120773,-1.497213,-1.623735,Actin
-0.946433,-0.704998,-0.612782,-0.082527,0.870068,0.815513,0.030985,0.352719,-0.303311,-0.036277,0.276148,0.290644,0.413868,0.577668,0.59646,0.540807,0.527691,-0.50392,-0.116182,0.148863,0.096741,0.162022,0.182244,0.07308,-0.078579,-0.131213,Lysosome
-0.940628,-0.824988,-0.87485,-1.209508,-1.425279,-1.381134,-1.425993,-1.556577,1.457908,-0.570464,-0.622359,-0.597805,-0.695021,-0.491896,-0.269071,-0.426674,-0.491592,0.505302,-0.375049,-0.361111,-0.180303,-0.153761,0.443746,0.788795,0.412475,0.399281,Microtubules
-0.927265,-0.91616,-0.787276,-0.813865,-0.843481,-0.851755,-1.109371,-0.975947,0.992241,-0.242024,-0.300953,-0.327157,-0.310895,-0.295647,-0.234006,-0.293949,-0.408434,0.328043,-0.227959,-0.263087,-0.312267,-0.172128,-0.079764,-0.05159,-0.28365,-0.451546,Mitochondria
-0.922542,-0.985959,-0.741222,-0.666169,-0.496235,-0.4518,-0.847106,-1.157831,0.81179,-0.536607,-0.705084,-0.642383,-0.703335,-0.85156,-0.893004,-0.894243,-0.946655,0.871768,-0.578531,-0.743703,-0.720315,-0.725356,-0.823718,-0.776555,-1.036236,-1.092387,Mitochondria
